"Event_rate","Scenario","Visit","CI_type","Coverage","rank","mean","q1","q3","old_rank","coverage_old","mean_old","q1_old","q3_old"
1,5,0,"Bootstrap",0.932,3,1.00648078183447,0.800971089525356,1.19794770904464,"Bootstrap",0.917,0.987402930142313,0.759143532193979,1.18487641085911
1,5,0,"Jackknife Wald",0.908,4,0.987078287345612,0.754958875547572,1.17804095954358,"Jackknife Wald",0.895,0.979386623271224,0.720798689578513,1.18994225668878
1,5,0,"Jackknife MVN",0.896197327852004,5,16.4518507223843,2.45074607697198,32.8195710712905,"Jackknife MVN",0.870314083080041,15.6610766249793,2.32628641416798,32.3725090313137
1,5,1,"LEF both",0.981,1,1.75817667606959,1.20536871106261,2.17499754661956,"LEF outcome",0.964,1.76284773565963,1.1572440416736,2.2436705909127
1,5,1,"LEF outcome",0.981,1,1.76224513024929,1.20539453219609,2.18138404501851,"LEF both",0.962,1.73659526878528,1.15451956836052,2.20598992184581
1,5,1,"Jackknife MVN",0.918807810894142,2,11.7393911731466,5.20052834796989,15.284506871244,"Jackknife MVN",0.891590678824721,11.4239475311716,4.90314058507967,15.1123855307449
1,5,1,"Sandwich",0.901351351351351,3,1.34597159451259,0.936551735286189,1.64186127142464,"Sandwich",0.87883008356546,1.38831511483041,0.941634044547944,1.71725609994474
1,5,1,"Jackknife Wald",0.89,4,1.00501421148764,0.588141134166089,1.24923616586349,"Jackknife Wald",0.869,0.992346972575812,0.582061945579958,1.26464439825288
1,5,1,"Bootstrap",0.877,5,0.925221926022629,0.608589290189399,1.17235739005401,"Bootstrap",0.852,0.911402869028392,0.603786609537888,1.19179190020056
1,5,2,"LEF both",0.945,1,1.26495067872564,0.805300846765938,1.64052472476934,"LEF outcome",0.929,1.21883489794276,0.731956291266181,1.6184736992299
1,5,2,"LEF outcome",0.945,1,1.26845928401155,0.801050622422841,1.6457556888501,"LEF both",0.927,1.19729674974598,0.71655646998702,1.59067784324154
1,5,2,"Jackknife MVN",0.930113052415211,2,7.14295479715044,4.84889179857025,8.74480932339114,"Jackknife MVN",0.912867274569402,6.8234588940225,4.4454528680789,8.55967486970881
1,5,2,"Jackknife Wald",0.859,3,0.963582639545346,0.437784752850416,1.27991284071993,"Jackknife Wald",0.841,0.964705073105046,0.443544351573535,1.31547802501155
1,5,2,"Sandwich",0.82972972972973,4,1.00837773958595,0.565536985575577,1.31126688249748,"Sandwich",0.8008356545961,0.991477400781649,0.59079621638026,1.31437854481129
1,5,2,"Bootstrap",0.804,5,0.814493163718436,0.445928156121961,1.08096415433965,"Bootstrap",0.797,0.807331780137086,0.434860673423461,1.08138214198283
1,5,3,"Jackknife MVN",0.932168550873587,1,4.86429186788071,3.46620277500252,5.9503893038393,"Jackknife MVN",0.921985815602837,4.34705459705158,3.05497725427023,5.37090053764744
1,5,3,"LEF outcome",0.901,2,0.945751870313652,0.581791312427875,1.22791918868483,"LEF outcome",0.861,0.835897154142413,0.479017285270806,1.1265698036237
1,5,3,"LEF both",0.9,3,0.943560829826896,0.578693261665417,1.21705781809302,"LEF both",0.857,0.822031596721416,0.469673669433518,1.10493138209171
1,5,3,"Jackknife Wald",0.836,4,0.983020168447956,0.346287319985397,1.32450807973436,"Jackknife Wald",0.855,0.931659089869539,0.314168092425882,1.23567659763184
1,5,3,"Bootstrap",0.756,5,0.762393707766303,0.34402350846226,1.02572555363071,"Bootstrap",0.759,0.717701050846336,0.320968711030108,0.999752890222644
1,5,3,"Sandwich",0.751351351351351,6,0.761441796822288,0.393150274794344,1.00662792339682,"Sandwich",0.742339832869081,0.680075873834561,0.369845656570458,0.92283113609303
